Accuracy,Precision,Recall,F1,TP,TN,FP,FN,NPV,Correct Entropy,Wrong Entropy,TP Entropy,TN Entropy,FP Entropy,FN Entropy,Brier Score,ECE,EST_TN,EST_FP,EST_FN,EST_TP,EST_Accuracy,EST_Precision,EST_Recall,EST_F1,Dataset,PromptType,Model,Description
0.9216,0.835,0.7198275862068966,0.7731481481481481,167,985,33,65,0.9380952380952381,0.3432247426669793,0.8670634619272377,0.6172057202328319,0.2967731454553068,0.8855803411479528,0.857662584784413,0.05316871622896975,0.04352741269110159,962.5062391189787,87.49376088102134,43.69259414213298,156.30740585786702,0.8950509159814767,0.6411265702648283,0.7815370292893351,0.7044028613373652,structured_dblp_scholar_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
0.9264,0.6623376623376623,0.4358974358974359,0.5257731958762887,51,1107,26,66,0.9437340153452686,0.34872392885615233,0.782637911723289,0.8322809123519465,0.32644623584957105,0.9410307669204475,0.7202407263425905,0.056673695401264365,0.03563151030612577,1070.4211539334547,102.57884606654528,25.761253645806597,51.23874635419341,0.8973279202301184,0.3331136936147043,0.6654382643401742,0.4439760922624515,structured_walmart_amazon_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
0.9224,0.9302325581395349,0.29850746268656714,0.4519774011299435,40,1113,3,94,0.9221209610604806,0.2963252516916682,0.7498154789121694,0.8867695098728735,0.2751053322601783,0.893677906348835,0.7452241248450416,0.057374460186489264,0.028782166074318275,1114.9996370997524,92.00036290024772,14.814606566085937,28.185393433914065,0.9145480244269331,0.23451525616353427,0.6554742659049783,0.3454393822975302,textual_abt_buy_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
0.9128,0.35403726708074534,0.9193548387096774,0.5112107623318386,57,1084,104,5,0.9954086317722681,0.5070134346946675,0.9210542747313922,0.3233519628262524,0.5166709106139478,0.9297856487250975,0.7394416956623262,0.06942597717347936,0.0779435198164078,926.488763720752,162.511236279248,43.91816349126174,117.08183650873826,0.8348564801835923,0.4187580019105863,0.7272163758306724,0.5314737962985547,dbpedia10k_1250,general_complex_force_hash,gpt_3.5_turbo_instruct,1max_token_0.json
0.8478664192949907,0.8205128205128205,0.48484848484848486,0.6095238095238096,64,393,14,68,0.8524945770065075,0.47845293540591227,0.7618527210930542,0.7540111790331108,0.4335783104895238,0.9483537767214176,0.7234554449342734,0.1128353922919181,0.023813328789765248,400.84579774503004,60.154202254969974,21.56175515710026,56.43824484289975,0.8483933999776062,0.4840643304752366,0.7235672415756377,0.5800661401263357,structured_itunes_amazon_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
0.9704016913319239,0.8014705882352942,0.990909090909091,0.8861788617886179,109,809,27,1,0.9987654320987654,0.20516950573492154,0.6201771604749655,0.14148059912011074,0.21375058215150294,0.6063857655434178,0.9925448236267495,0.02741821526072163,0.019810004635439405,771.3891475024573,38.61085249754272,8.129411887582947,127.87058811241704,0.9505916866964845,0.7680771360694676,0.9402249125913018,0.8454772488160827,structured_fodors_zagats_1250,general_complex_force_hash,gpt_3.5_turbo_instruct,1max_token_0.json
0.868,0.44483985765124556,0.9328358208955224,0.6024096385542168,125,960,156,9,0.9907120743034056,0.32153701204821017,0.7871608773197691,0.39890979180409486,0.3114624313508293,0.7889656116036577,0.755878816399032,0.08942575118263808,0.0301631004048382,885.6765252329888,83.3234747670112,55.849892283358756,225.15010771664126,0.8886613063597041,0.7298845687331201,0.8012459349346664,0.7639022830098928,textual_abt_buy_1250,general_complex_force_hash,gpt_3.5_turbo_instruct,1max_token_0.json
0.9728,0.8830645161290323,0.9776785714285714,0.9279661016949152,219,997,29,5,0.9950099800399201,0.22888951657495563,0.7522854502516585,0.5558320673554807,0.15707365035536183,0.7633991350399638,0.6878260784794875,0.025642459600422184,0.03237157351875929,967.9873665058496,34.01263349415031,40.45183340429892,207.54816659570108,0.9404284264812406,0.859196386659181,0.8368877685310527,0.8478953648151927,structured_dblp_acm_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
0.6790352504638218,0.421455938697318,0.8333333333333334,0.5597964376590331,110,256,151,22,0.920863309352518,0.46653012018559376,0.6945080599583044,0.405011683648088,0.49296382338530315,0.6652566962893425,0.8952787833225435,0.22622271946505937,0.16720430487629068,231.66056358228758,46.33943641771242,43.33809351375511,217.66190648624487,0.8336223934481121,0.8244727246157588,0.8339536646982563,0.8291860942003858,structured_itunes_amazon_1250,general_complex_force_hash,gpt_3.5_turbo_instruct,1max_token_0.json
0.9064,0.5462962962962963,0.4645669291338583,0.502127659574468,59,1074,49,68,0.9404553415061296,0.32911840500450446,0.8319528684819221,0.8136875566615662,0.3024986843827478,0.8331494509563053,0.8310906252283226,0.06669872829422716,0.03177219285164395,1036.3014138038566,105.69858619614328,31.99938535403814,76.00061464596186,0.8898416227598549,0.4182770991491903,0.7037093948700173,0.5246863948885003,structured_amazon_google_1250,general_complex_force,gpt_3.5_turbo_instruct,1max_token_0.json
